run_id,race_id,snapshot_time,fixed_win_price
14142234,1359739,2026-09-19T12:35:30.116261+00:00,17.0
14142228,1359739,2026-09-19T12:35:30.116261+00:00,23.0
14178699,1409349,2026-09-19T12:35:30.116261+00:00,4.4
14178718,1409350,2026-09-19T12:35:30.116261+00:00,26.0
14178729,1409350,2026-09-19T12:35:30.116261+00:00,26.0
14178678,1409347,2026-09-19T12:35:30.116261+00:00,13.0
14178723,1409350,2026-09-19T12:35:30.116261+00:00,13.0
14178720,1409350,2026-09-19T12:35:30.116261+00:00,26.0
14178714,1409350,2026-09-19T12:35:30.116261+00:00,9.0
14178731,1409350,2026-09-19T12:35:30.116261+00:00,5.0
14178722,1409350,2026-09-19T12:35:30.116261+00:00,21.0
14178719,1409350,2026-09-19T12:35:30.116261+00:00,10.0
14178730,1409350,2026-09-19T12:35:30.116261+00:00,14.0
14178724,1409350,2026-09-19T12:35:30.116261+00:00,2.1
14178713,1409350,2026-09-19T12:35:30.116261+00:00,9.0
14178701,1409349,2026-09-19T12:35:30.116261+00:00,126.0
14178700,1409349,2026-09-19T12:35:30.116261+00:00,126.0
14178707,1409349,2026-09-19T12:35:30.116261+00:00,26.0
14178705,1409349,2026-09-19T12:35:30.116261+00:00,23.0
14178709,1409349,2026-09-19T12:35:30.116261+00:00,41.0
14178712,1409349,2026-09-19T12:35:30.116261+00:00,12.0
14178663,1409346,2026-09-19T12:35:30.116261+00:00,5.0
14178708,1409349,2026-09-19T12:35:30.116261+00:00,10.0
14178704,1409349,2026-09-19T12:35:30.116261+00:00,7.0
14178703,1409349,2026-09-19T12:35:30.116261+00:00,31.0
14178711,1409349,2026-09-19T12:35:30.116261+00:00,2.2
14178706,1409349,2026-09-19T12:35:30.116261+00:00,7.5
14182060,1409347,2026-09-19T12:35:30.116261+00:00,126.0
14178677,1409347,2026-09-19T12:35:30.116261+00:00,15.0
14178679,1409347,2026-09-19T12:35:30.116261+00:00,9.0
14178673,1409347,2026-09-19T12:35:30.116261+00:00,51.0
14178674,1409347,2026-09-19T12:35:30.116261+00:00,41.0
14178685,1409347,2026-09-19T12:35:30.116261+00:00,5.0
14178684,1409347,2026-09-19T12:35:30.116261+00:00,2.4
14178675,1409347,2026-09-19T12:35:30.116261+00:00,34.0
14178676,1409347,2026-09-19T12:35:30.116261+00:00,6.0
14178680,1409347,2026-09-19T12:35:30.116261+00:00,6.5
14178745,1409352,2026-09-19T12:35:30.116261+00:00,2.4
14178698,1409348,2026-09-19T12:35:30.116261+00:00,61.0
14178697,1409348,2026-09-19T12:35:30.116261+00:00,26.0
14178693,1409348,2026-09-19T12:35:30.116261+00:00,11.0
14182061,1409348,2026-09-19T12:35:30.116261+00:00,21.0
14178695,1409348,2026-09-19T12:35:30.116261+00:00,8.5
14178689,1409348,2026-09-19T12:35:30.116261+00:00,3.1
14178691,1409348,2026-09-19T12:35:30.116261+00:00,2.3
14178690,1409348,2026-09-19T12:35:30.116261+00:00,3.9
14178670,1409346,2026-09-19T12:35:30.116261+00:00,34.0
14178667,1409346,2026-09-19T12:35:30.116261+00:00,4.8
14178671,1409346,2026-09-19T12:35:30.116261+00:00,16.0
14178664,1409346,2026-09-19T12:35:30.116261+00:00,7.0
14178672,1409346,2026-09-19T12:35:30.116261+00:00,23.0
14178669,1409346,2026-09-19T12:35:30.116261+00:00,3.4
14178666,1409346,2026-09-19T12:35:30.116261+00:00,3.3
14182064,1409351,2026-09-19T12:35:30.116261+00:00,26.0
14182063,1409351,2026-09-19T12:35:30.116261+00:00,10.0
14178735,1409351,2026-09-19T12:35:30.116261+00:00,11.0
14178733,1409351,2026-09-19T12:35:30.116261+00:00,5.5
14182062,1409351,2026-09-19T12:35:30.116261+00:00,5.0
14178736,1409351,2026-09-19T12:35:30.116261+00:00,18.0
14178738,1409351,2026-09-19T12:35:30.116261+00:00,2.4
14178734,1409351,2026-09-19T12:35:30.116261+00:00,4.6
14178743,1409352,2026-09-19T12:35:30.116261+00:00,34.0
14178741,1409352,2026-09-19T12:35:30.116261+00:00,19.0
14178740,1409352,2026-09-19T12:35:30.116261+00:00,13.0
14178744,1409352,2026-09-19T12:35:30.116261+00:00,3.2
14182065,1409352,2026-09-19T12:35:30.116261+00:00,19.0
14178742,1409352,2026-09-19T12:35:30.116261+00:00,81.0
14178746,1409352,2026-09-19T12:35:30.116261+00:00,3.1
14394484,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394482,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394498,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394993,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394457,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394449,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394458,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394456,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394454,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394483,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394490,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394488,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394492,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394494,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394489,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394500,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394495,1757601,2026-09-19T12:35:30.116261+00:00,1.01
14394991,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394992,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394447,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394445,1757598,2026-09-19T12:35:30.116261+00:00,1.01
14394453,1757598,2026-09-19T12:35:30.116261+00:00,1.01
