run_id,race_id,date,venue,race_no,start_time,tab,horse,silk_url,tag,wpr_prediction,gap_wpr,toprate_rating,form_factor,jw,trr_rank_1,pfm_rank_1,price_at_pick,captured_at,resulted,finish_position,won,price_final
14393630,1757567,2026-08-26,Canterbury,3,2026-08-26T04:35:00+00:00,3,Cheval De Bois,https://silks.medialityracing.com.au/png/463b071e327a3ee9109988125ed1a2b15155d91fe656d06244c8079a67ba486a_front.png,neutral,87.2,0.0,100.0,100.0,30.3,True,True,4.2,2026-09-16T21:46:06.777523+10:00,True,4,0,4.2
14394102,1757587,2026-08-26,Bendigo,8,2026-08-26T07:05:00+00:00,8,Zebra Finch,https://silks.medialityracing.com.au/png/24a09a9bf8df39007593f53eb22d09bb2d0c7e4d5fad0e556fa9023c953ab9b2_front.png,neutral,87.4,0.0,100.0,100.0,24.6,True,True,3.3,2026-09-16T21:46:06.777523+10:00,True,1,1,3.3
14396402,1757753,2026-08-28,Gold Coast,6,2026-08-28T09:45:00+00:00,4,Berezka,https://silks.medialityracing.com.au/png/4047caf32602e340a56b77007bb9bdd3735ab02bf13fd0d18fa6cffe4dbd2bd7_front.png,neutral,84.1,0.3,100.0,100.0,22.7,True,True,3.7,2026-09-16T21:46:06.784493+10:00,True,1,1,3.7
14399089,1757858,2026-08-28,Geelong,1,2026-08-28T02:25:00+00:00,3,Gaelic Kiwi,https://silks.medialityracing.com.au/png/6075a00a3d390755667aaf5a22d57edb840aba8d53cae84c00fda3c47114ded8_front.png,favoured,77.0,1.0,100.0,100.0,25.0,True,True,3.2,2026-09-16T21:46:06.784493+10:00,True,4,0,3.2
14396730,1757770,2026-08-29,Cairns,3,2026-08-29T03:54:00+00:00,2,Line 'em Up Loui,https://silks.medialityracing.com.au/png/2086efecd2fe773446b727c7aa6f3ea00240fdfb3f4103cb9cce52c364546a62_front.png,neutral,83.0,0.0,100.0,100.0,20.8,True,True,4.6,2026-09-16T21:46:06.788440+10:00,True,7,0,4.6
14397682,1757816,2026-08-29,Rosehill,6,2026-08-29T04:40:00+00:00,7,Street Artist,https://silks.medialityracing.com.au/png/0b573fadb3e4e110393703fee553d3e5f905541565fe983fdcb72b5dc0c83256_front.png,neutral,91.5,1.4,100.0,100.0,29.6,True,True,3.4,2026-09-16T21:46:06.788440+10:00,True,4,0,3.4
14400833,1757910,2026-08-30,Townsville,5,2026-08-30T06:05:00+00:00,3,Vouchers,https://silks.medialityracing.com.au/png/2086efecd2fe773446b727c7aa6f3ea00240fdfb3f4103cb9cce52c364546a62_front.png,neutral,75.2,0.0,100.0,100.0,21.4,True,True,3.2,2026-09-16T21:46:06.794546+10:00,True,9,0,3.2
14401900,1757997,2026-08-30,Casterton,2,2026-08-30T03:15:00+00:00,8,Fake Fiction,https://silks.medialityracing.com.au/png/3414986a415ad46cbecfb85015306ed4adf7d749ffbb4c6e1e9c3f238b2bda8d_front.png,neutral,74.5,0.0,100.0,100.0,20.3,True,True,4.2,2026-09-16T21:46:06.794546+10:00,True,4,0,4.2
14404376,1758128,2026-09-01,Scone,7,2026-09-01T06:35:00+00:00,5,Herman Said,https://silks.medialityracing.com.au/png/f3327382513abfc8ef7746b547ff7fe805b08b428b062dc8fb2f2856c10b7eba_front.png,favoured,80.8,0.0,100.0,100.0,24.9,True,True,3.3,2026-09-16T21:46:06.803475+10:00,True,1,1,3.3
14404871,1758141,2026-09-01,Wodonga,8,2026-09-01T07:00:00+00:00,1,Lightning Flash,https://silks.medialityracing.com.au/png/b76d975217b1d9a26635dbe97d23c070e73a00f606b8c3f3564575995b3d549a_front.png,neutral,78.4,1.3,100.0,100.0,20.3,True,True,4.6,2026-09-16T21:46:06.803475+10:00,True,1,1,4.6
14407582,1758224,2026-09-02,Warwick Farm,1,2026-09-02T03:35:00+00:00,7,Sequinned,https://silks.medialityracing.com.au/png/24a09a9bf8df39007593f53eb22d09bb2d0c7e4d5fad0e556fa9023c953ab9b2_front.png,neutral,85.1,0.0,100.0,100.0,30.2,True,True,4.0,2026-09-16T21:46:06.807124+10:00,True,1,1,4.0
14407826,1758247,2026-09-02,Sandown,7,2026-09-02T06:40:00+00:00,9,Emperor Tzu,https://silks.medialityracing.com.au/png/206ee8a64da3ce958e5ee1fa7214f28a1c5d97e07ec8833adbfa0aafd6468131_front.png,favoured,84.5,0.1,100.0,100.0,24.2,True,True,3.2,2026-09-16T21:46:06.807124+10:00,True,1,1,3.2
14408093,1758257,2026-09-02,Ipswich,1,2026-09-02T02:43:00+00:00,1,Farset,https://silks.medialityracing.com.au/png/206ee8a64da3ce958e5ee1fa7214f28a1c5d97e07ec8833adbfa0aafd6468131_front.png,favoured,81.1,0.0,100.0,100.0,22.9,True,True,3.8,2026-09-16T21:46:06.807124+10:00,True,1,1,3.8
14412287,1758447,2026-09-04,Canberra,1,2026-09-04T02:35:00+00:00,4,Feazabeel,https://silks.medialityracing.com.au/png/69dabb3753578f055f487022342bb75b53ff91c8e850d91b89fa822e77db2060_front.png,neutral,81.0,0.2,100.0,100.0,21.5,True,True,3.1,2026-09-16T21:46:06.816115+10:00,True,1,1,3.1
14415277,1758654,2026-09-05,Sandown,2,2026-09-05T02:40:00+00:00,6,Blue Willow,https://silks.medialityracing.com.au/png/24a09a9bf8df39007593f53eb22d09bb2d0c7e4d5fad0e556fa9023c953ab9b2_front.png,neutral,87.7,0.0,100.0,100.0,22.6,True,True,3.9,2026-09-16T21:46:06.820472+10:00,True,3,0,3.9
14419480,1758897,2026-09-08,Townsville,8,2026-09-08T07:17:00+00:00,7,Muskito,https://silks.medialityracing.com.au/png/2086efecd2fe773446b727c7aa6f3ea00240fdfb3f4103cb9cce52c364546a62_front.png,neutral,74.2,3.3,100.0,100.0,22.2,True,True,3.7,2026-09-16T21:46:06.838741+10:00,True,4,0,3.7
14426563,1759267,2026-09-09,Randwick,2,2026-09-09T04:10:00+00:00,2,Unhinged,https://silks.medialityracing.com.au/png/aee989e5ab3c9998a8ba611ebd5feb0deb8fa3afc51563f7444b4fb99c6c2d19_front.png,neutral,83.1,0.0,100.0,100.0,22.3,True,True,3.6,2026-09-16T21:46:06.844506+10:00,True,2,0,3.6
14422897,1759083,2026-09-10,Lismore,1,2026-09-10T03:20:00+00:00,1,Quique,https://silks.medialityracing.com.au/png/84f225e78964701499c551b9887718636057f5b0480737b66df4f4b3e58fc16a_front.png,neutral,65.0,0.1,100.0,100.0,25.5,True,True,3.0,2026-09-16T21:46:06.850420+10:00,True,1,1,3.0
14428624,1759381,2026-09-10,Seymour,6,2026-09-10T06:00:00+00:00,7,Covert Thinking,https://silks.medialityracing.com.au/png/6ae79362ede7e73501482d4cedbdacaedb325c8eb7b5b0fc382527ab73405008_front.png,neutral,86.5,0.0,100.0,100.0,23.5,True,True,4.0,2026-09-16T21:46:06.850420+10:00,True,1,1,4.0
14427064,1759303,2026-09-11,Sunshine Coast,6,2026-09-11T10:00:00+00:00,16,Spirit Of Torque,https://silks.medialityracing.com.au/png/bcbd0b5d8c01939f16c226240337f8566767e80e7a0c4474af261b7add06b0c4_front.png,neutral,77.1,0.0,100.0,100.0,22.6,True,True,4.2,2026-09-16T21:46:06.855857+10:00,True,7,0,4.2
14429502,1759406,2026-09-12,Flemington,5,2026-09-12T04:30:00+00:00,3,Nearco Frod,https://silks.medialityracing.com.au/png/db11430b43197796af6e0bff8d4f10c74dad5b5cddaf0938c909c8a27580db72_front.png,neutral,94.5,1.0,100.0,100.0,20.3,True,True,5.5,2026-09-16T21:46:06.861595+10:00,True,11,0,5.5
14435222,1759638,2026-09-12,Belmont Park,8,2026-09-12T09:10:00+00:00,7,Hurricane Harley,https://silks.medialityracing.com.au/png/201bbbf7d7923a1e9fe0c9f02eb296ef3577d2d1522907cb904f3c394b5a1d35_front.png,neutral,87.7,1.1,100.0,100.0,27.3,True,True,4.2,2026-09-16T21:46:06.861595+10:00,True,1,1,4.2
14431788,1759495,2026-09-13,Dalby,1,2026-09-13T02:55:00+00:00,5,Josephine Of Tuffy,https://silks.medialityracing.com.au/png/676999aa9c1fae5a3542f1d3c22ab2d2b1714dd98c25467c77fabbaa08220c05_front.png,neutral,72.5,0.0,100.0,100.0,25.0,True,True,3.4,2026-09-16T21:46:06.869088+10:00,True,3,0,3.4
14432800,1759581,2026-09-13,Sale,2,2026-09-13T03:30:00+00:00,10,Pain Au Chocolat,https://silks.medialityracing.com.au/png/f8062b674a8e86204b02c916d27ff4e1e549ecb04ee163968ace928994e4d663_front.png,favoured,78.2,0.0,100.0,100.0,22.6,True,True,3.6,2026-09-16T21:46:06.869088+10:00,True,4,0,3.6
14432409,1759537,2026-09-14,Tamworth,6,2026-09-14T06:40:00+00:00,5,Sipping Shamus,https://silks.medialityracing.com.au/png/f8a8fc55f0c360ba9221229e6144db82fda6096e8841e348575b6ee9e655989c_front.png,neutral,77.6,0.8,100.0,100.0,27.9,True,True,3.5,2026-09-16T21:46:06.875596+10:00,True,5,0,3.5
14448025,1760115,2026-09-18,Newcastle,4,2026-09-18T04:50:00+00:00,2,Spartus,https://silks.medialityracing.com.au/png/f091f27edc2a52c1e50f5227cfa5d3338da7178938953c2a0bff353ca464a901_front.png,neutral,89.3,0.0,100.0,100.0,29.1,True,True,3.9,2026-09-18T09:07:06.578155+10:00,True,4,0,3.9
14448152,1760122,2026-09-18,Townsville,6,2026-09-18T06:12:00+00:00,6,Avenue Montaigne,https://silks.medialityracing.com.au/png/2086efecd2fe773446b727c7aa6f3ea00240fdfb3f4103cb9cce52c364546a62_front.png,neutral,76.4,1.0,100.0,100.0,22.2,True,True,3.2,2026-09-18T09:07:06.578155+10:00,True,4,0,3.2
14449900,1760193,2026-09-18,Ballarat,8,2026-09-18T06:30:00+00:00,6,Ten Commandments,https://silks.medialityracing.com.au/png/c6cb23e53f72fc8e6e6a157ab811d0c7e2e9c7d578341e81f39972987a5f5cf7_front.png,neutral,93.7,0.0,100.0,100.0,13.8,True,True,3.4,2026-09-18T18:05:43.783263+10:00,True,1,1,3.4
14447261,1760064,2026-09-19,Fannie Bay,1,2026-09-19T05:42:00+00:00,1,Biden Time,https://silks.medialityracing.com.au/png/e987166e5ffde5e368d654a3641aee90b2ce8e01cb0a04e823e7e2c215f2a576_front.png,neutral,75.0,2.6,100.0,100.0,21.5,True,True,3.2,2026-09-19T09:09:30.453466+10:00,True,2,0,5.0
14447837,1760098,2026-09-19,Eagle Farm,4,2026-09-19T04:34:00+00:00,8,Stevie's Spirit,https://silks.medialityracing.com.au/png/a82476e6d96480292a4eabe1ea4b7fcab13733fb8d7a4281b8986fc941b38a8c_front.png,neutral,76.7,0.0,100.0,100.0,23.7,True,True,4.4,2026-09-19T09:09:30.453466+10:00,True,,0,4.4
14447897,1760105,2026-09-19,Bowraville,6,2026-09-19T05:59:00+00:00,1,Nails And Pride,https://silks.medialityracing.com.au/png/c8e8c6c46ebb5d796fd5a830b6747ebdade441c9863d5e606800b79ba256618c_front.png,neutral,81.3,0.0,100.0,100.0,16.8,True,True,4.0,2026-09-19T11:09:32.203976+10:00,True,,0,4.0
14447930,1760108,2026-09-19,Bowraville,4,2026-09-19T04:50:00+00:00,1,Farraige,https://silks.medialityracing.com.au/png/1208e73885040dc1546c2dd59ab16844c70f27898d9d0d4c9dae7530b57ead8b_front.png,neutral,75.6,0.0,100.0,100.0,16.8,True,True,3.3,2026-09-19T09:09:30.453466+10:00,True,2,0,3.3
14448477,1760145,2026-09-19,Gold Coast,3,2026-09-19T03:43:00+00:00,3,Captain Maverick,https://silks.medialityracing.com.au/png/0091c50af7b662d95bd5119411fe8990681d8012f377dcd6518ef727d55991e7_front.png,neutral,87.7,0.0,100.0,100.0,16.8,True,True,3.2,2026-09-19T09:09:30.453466+10:00,True,2,0,3.2
14448489,1760146,2026-09-19,Gold Coast,8,2026-09-19T06:43:00+00:00,6,Detrimental,https://silks.medialityracing.com.au/png/e5d70c419ebcbd1e60183c6005d7d3e6f8c904a7d72f650f52a5d5b333eed606_front.png,neutral,88.9,0.0,100.0,100.0,24.6,True,True,3.6,2026-09-19T09:09:30.453466+10:00,True,,0,3.6
